,1.txt,10.txt,2.txt,3.txt,4.txt,5.txt,6.txt,7.txt,8.txt,9.txt
connective,1,0,0,0,0,0,0,2,0,0
tissue,6,0,0,0,0,0,0,3,0,0
no,2,0,3,1,1,2,0,0,0,1
single,5,0,0,0,4,2,0,0,2,0
enough,8,1,0,0,0,0,0,0,1,0
distinguish,1,0,0,0,0,0,0,0,0,0
uninfected,10,0,0,0,0,0,0,0,0,0
diversity,1,0,0,0,0,0,0,0,0,0
various,4,0,1,1,3,0,0,0,0,0
follow,2,1,0,0,0,0,1,0,0,3
duo,1,0,0,0,0,0,0,0,0,0
combination,6,3,3,0,0,0,0,0,0,0
baricitinib,2,0,0,0,0,0,0,0,0,0
remdesivir,12,0,0,3,0,0,0,0,0,0
shaved,1,0,0,0,0,0,0,0,0,0
recovery,7,0,2,0,0,0,0,0,0,8
hospitalized,9,0,6,11,2,9,0,0,0,0
recommends,1,0,0,0,0,0,0,0,0,0
world,6,0,0,0,0,0,0,0,0,0
organization,1,0,0,1,0,1,0,0,0,0
caution,3,0,0,0,0,0,0,0,0,0
use,13,1,3,8,1,5,0,0,0,3
therapy,10,0,3,7,2,3,0,1,0,6
andre,1,0,0,0,0,0,0,0,0,0
kalil,2,0,0,0,0,0,0,0,0,0
nebraska,1,0,0,0,0,0,0,0,0,0
omaha,1,0,0,0,0,0,0,0,0,0
gave,12,0,0,1,0,0,0,1,0,1
moderate,8,2,0,2,0,4,0,0,0,0
control,20,3,0,2,1,0,1,0,2,1
monitored,4,0,2,1,1,0,0,0,0,3
long,7,2,0,0,1,2,0,0,0,3
took,17,0,0,0,0,0,0,0,0,1
recover,2,0,0,0,1,0,0,0,0,2
go,2,0,0,0,0,0,0,0,0,0
without,9,1,0,2,0,0,1,2,2,7
sustained,1,0,0,1,0,0,0,0,0,0
care,7,0,3,19,1,1,4,0,10,4
those,4,0,0,0,0,0,0,0,0,0
median,3,0,7,7,4,3,0,0,0,25
compared,24,1,0,5,2,3,0,2,1,11
eight,7,0,0,0,0,1,0,0,0,0
edge,1,0,0,0,0,0,0,0,0,0
requiring,1,0,0,0,0,1,0,0,0,10
invasive,2,0,1,4,0,0,0,0,0,1
ventilation,4,0,1,35,0,0,0,0,0,10
fell,6,0,0,0,0,0,0,0,0,0
alone,5,1,1,1,0,0,0,0,0,0
save,2,1,1,0,0,0,0,0,0,0
life,4,2,2,0,0,0,0,0,6,8
scarce,4,0,0,0,0,0,0,0,0,0
worker,12,0,0,0,0,0,2,0,0,0
probably,10,0,0,0,0,0,0,0,0,0
get,4,0,0,0,0,0,0,0,0,0
next,3,0,0,0,1,0,0,0,2,0
queue,1,0,0,0,0,0,0,0,0,0
supply,2,0,0,0,0,0,0,0,0,0
model,14,16,0,1,1,3,0,0,0,8
elderly,3,1,0,0,0,0,0,0,0,0
kate,1,0,0,0,0,0,0,0,0,0
bubar,2,0,0,0,0,0,0,0,0,0
daniel,2,0,3,0,0,0,0,0,0,0
larremore,4,0,0,0,0,0,0,0,0,0
colorado,2,0,0,0,0,0,0,0,0,0
boulder,2,0,0,0,0,0,0,0,0,0
rolling,1,0,0,0,0,0,0,0,0,0
priority,1,0,0,1,0,0,1,0,1,0
influence,3,0,0,0,0,0,0,0,0,0
population,19,5,8,27,8,7,5,6,1,5
delivery,1,1,0,0,0,0,0,0,0,0
offered,2,0,0,0,0,0,0,0,2,0
scenario,4,3,0,0,0,0,0,0,0,0
giving,3,0,0,0,0,0,0,0,0,0
jab,5,0,0,0,0,0,0,0,0,0
saved,1,0,0,0,0,0,0,0,0,0
greatest,2,0,0,0,0,0,0,0,1,0
possible,6,3,0,0,2,2,0,1,0,0
getting,1,0,0,0,0,1,0,0,0,0
prioritize,1,0,0,0,0,0,2,0,0,0
younger,6,1,0,0,0,0,0,0,0,0
targeting,2,0,0,0,0,0,0,0,0,0
receive,2,0,9,11,5,3,0,0,0,3
achieved,1,0,0,0,1,0,0,0,0,0
indicates,2,1,0,0,0,0,1,0,0,1
history,3,0,0,0,5,0,0,0,0,1
recent,2,2,0,0,2,1,1,0,0,0
lasting,1,1,0,0,0,0,0,0,0,0
still,4,2,0,0,0,0,0,0,2,4
potent,12,0,0,0,0,1,0,0,0,0
biotech,1,0,0,0,0,0,0,0,0,0
firm,2,0,0,0,0,0,0,0,0,0
reported,10,2,1,3,8,9,0,3,0,14
gauge,2,0,0,0,0,0,0,0,0,0
whether,20,1,1,1,0,2,0,0,0,1
alicia,1,0,0,0,0,0,0,0,0,0
widge,2,0,0,0,0,0,0,0,0,0
allergy,5,0,0,0,0,1,0,0,0,0
infectious,14,0,0,0,0,2,1,0,0,1
bethesda,2,0,0,0,0,0,0,0,0,0
maryland,4,0,0,0,0,0,1,0,0,0
latch,2,0,0,0,0,0,0,0,0,0
key,10,2,0,5,7,1,0,0,0,3
peaked,5,0,0,0,0,0,0,0,0,0
slightly,3,0,0,0,0,1,0,0,0,0
subsequent,2,0,0,0,3,1,0,0,0,1
neutralizing,29,0,1,0,6,5,0,0,0,0
none,9,0,1,0,0,1,0,0,0,0
durable,1,0,0,0,0,0,0,0,0,0
just,2,0,0,0,0,0,0,0,0,0
pinch,1,0,0,0,0,0,0,0,0,0
protect,12,1,0,0,0,0,0,0,0,0
sufficient,1,0,0,0,1,0,0,0,1,0
monkey,34,0,0,0,0,0,0,0,0,0
contribute,4,2,1,0,0,0,0,1,0,0
immunity,15,35,0,0,2,0,0,0,0,0
there,3,1,1,0,0,0,0,0,1,0
easy,3,0,0,0,0,0,0,0,0,0
way,7,1,0,2,0,1,0,0,0,1
predict,6,1,0,0,0,0,0,0,0,0
aspect,1,0,0,0,0,0,0,0,0,1
dan,5,0,0,0,0,0,0,0,0,0
barouch,4,0,0,0,0,0,0,0,0,0
harvard,14,0,0,0,0,0,0,0,0,0
sought,3,0,0,0,0,0,0,0,0,0
understand,5,1,0,0,0,0,0,0,0,2
element,1,0,0,0,0,0,0,0,2,0
defend,1,0,0,0,0,0,0,0,0,0
using,9,1,2,1,0,0,0,0,0,4
rhesus,8,0,0,0,0,0,0,0,0,0
macaque,13,0,0,0,0,0,0,0,0,0
macaca,8,0,0,0,0,0,0,0,0,0
multatta,1,0,0,0,0,0,0,0,0,0
recovering,4,0,0,0,0,0,0,0,0,3
mcmahan,1,0,0,0,0,0,0,0,0,0
protected,10,0,0,0,0,0,0,0,0,0
recipient,4,0,4,0,0,0,0,0,0,0
animal,29,1,0,0,0,1,0,0,0,0
boosted,1,0,0,0,0,0,0,0,0,0
including,23,2,0,0,1,4,1,2,2,11
activation,3,0,0,0,0,0,0,0,0,1
natural,2,5,0,0,5,2,0,0,0,3
killer,1,0,0,0,0,0,0,0,0,0
conferred,1,0,0,0,0,0,0,0,0,0
lower,17,1,1,4,6,13,0,1,0,21
when,6,1,0,1,0,0,0,0,0,1
suggests,18,4,1,0,3,1,0,1,0,0
smell,7,0,0,0,0,0,0,0,0,1
sniff,1,0,0,0,0,0,0,0,0,0
rising,2,0,0,0,0,0,0,0,0,0
count,3,0,0,0,0,0,0,0,0,8
fast,5,1,0,0,0,0,0,0,0,0
cheap,3,0,0,0,0,0,0,0,0,0
stop,6,0,1,0,0,0,0,0,0,0
previous,10,1,3,0,1,0,0,0,1,3
lose,1,0,0,0,0,0,0,0,0,0
sense,1,0,0,0,0,1,0,0,0,0
statistic,3,0,0,0,0,0,0,0,0,0
hold,5,0,0,0,0,0,1,0,0,0
true,3,0,0,0,0,0,0,0,0,0
feel,3,0,0,0,0,0,0,0,0,0
distinctive,1,0,0,0,0,0,0,0,0,0
prompted,3,0,0,0,0,0,0,0,0,0
roy,1,0,0,0,0,0,0,0,0,0
parker,1,0,0,0,0,0,0,0,0,0
mass,4,2,0,0,0,0,0,0,0,0
loss,4,1,0,0,0,0,0,0,1,1
quash,1,0,0,0,0,0,0,0,0,0
epidemic,16,4,0,0,0,0,0,0,0,0
simulation,1,1,0,0,0,0,0,0,0,0
three,28,3,2,0,1,5,0,1,0,3
assuming,1,0,0,1,0,0,0,0,0,0
detectable,3,2,1,0,0,0,0,0,0,0
would,23,6,5,2,7,6,0,0,13,3
event,10,0,14,8,10,7,0,0,0,3
aeroplane,1,0,0,0,0,0,0,0,0,0
flight,7,0,0,0,0,0,0,0,0,0
modelling,4,0,0,0,0,0,0,0,0,0
advises,1,0,0,0,0,0,0,0,0,0
company,3,0,0,0,0,0,0,0,0,0
darwin,1,0,0,0,0,0,0,0,0,0
bioscience,1,0,0,0,0,0,0,0,0,0
derek,1,0,0,0,0,0,0,0,0,0
toomre,1,0,0,0,0,0,0,0,0,0
founder,2,0,0,0,0,0,0,0,0,0
let,1,0,0,0,0,0,0,0,0,0
give,2,1,0,0,0,0,0,0,0,0
slip,1,0,0,0,0,0,0,0,0,0
allows,5,1,0,0,0,0,0,0,0,0
recognition,3,0,0,0,0,0,0,0,0,0
several,18,0,3,0,1,2,2,0,0,2
manufactured,3,0,0,0,0,0,0,0,0,0
designer,1,0,0,0,0,0,0,0,0,0
monoclonal,3,0,2,1,1,2,0,0,0,0
naturally,1,0,0,0,0,0,0,0,0,0
occurring,2,0,0,0,1,0,0,0,0,1
mapped,3,0,0,0,0,0,0,0,0,0
eli,1,0,0,0,0,7,0,0,0,0
lilly,1,0,0,0,0,7,0,0,0,0
indianapolis,1,0,0,0,0,2,0,0,0,0
indiana,1,0,0,0,0,1,0,0,0,0
cocktail,10,0,0,0,12,0,0,0,0,0
regeneron,3,0,0,0,11,0,0,0,0,0
tarrytown,2,0,0,0,0,0,0,0,0,0
starr,2,0,0,0,0,0,0,0,0,0
affect,4,1,1,0,1,0,0,2,0,0
segment,2,0,0,0,0,0,0,0,0,0
us,13,0,0,0,0,0,0,0,0,0
enter,9,1,0,0,0,0,0,0,0,0
helped,10,0,0,0,0,0,0,0,0,0
few,1,0,1,0,0,0,0,0,0,0
circulating,6,3,0,0,0,0,0,0,0,0
widely,6,1,1,0,0,0,0,0,0,0
prevalent,2,0,0,0,0,0,0,1,0,0
europe,8,0,0,0,0,0,0,0,0,0
another,15,1,0,0,0,0,0,0,2,0
netherlands,5,0,0,0,0,0,0,0,0,0
denmark,3,0,0,0,0,0,0,0,0,0
taken,10,0,0,0,0,0,0,1,0,0
mink,13,0,0,0,0,0,0,0,0,0
working,2,0,0,0,0,0,1,0,0,0
farm,7,0,0,0,0,0,0,0,0,0
why,2,0,0,0,0,0,0,0,0,0
sensitive,8,0,0,0,0,0,0,0,0,0
yield,3,0,0,0,0,0,0,0,0,0
false,5,0,0,0,0,0,0,0,0,0
negative,18,0,1,0,3,0,0,0,0,1
method,12,0,2,4,3,5,0,0,0,3
diagnosing,1,0,0,0,0,0,0,0,0,0
polymerase,10,0,0,0,0,0,0,0,0,0
chain,8,2,0,0,0,0,0,0,0,0
genetic,18,0,0,0,0,0,0,1,0,0
material,8,1,0,0,0,0,0,0,0,0
nose,15,0,0,0,0,0,0,0,0,0
throat,12,0,1,0,0,0,0,0,0,0
swab,13,0,0,0,1,2,0,1,0,0
survey,12,0,0,0,0,0,0,7,0,1
singled,1,0,0,0,0,0,0,0,0,0
caitlin,1,0,0,0,0,0,0,0,0,0
dugdale,2,0,0,0,0,0,0,0,0,0
general,6,0,0,0,0,0,0,4,1,0
looked,6,0,0,0,0,0,0,0,0,0
thought,2,0,0,0,0,0,0,0,0,0
reason,2,0,0,0,1,1,0,0,1,1
open,2,3,1,1,2,1,0,0,0,0
forum,1,0,0,0,0,0,0,0,0,0
done,3,0,0,0,0,0,0,2,0,9
among,22,1,6,15,12,15,1,5,3,12
initial,3,0,0,0,1,0,0,0,0,0
suggesting,16,1,0,0,1,0,0,0,0,0
retested,3,0,0,0,0,0,0,0,0,0
especially,4,1,0,3,0,0,0,0,0,0
area,6,0,0,3,1,0,0,0,0,0
widespread,5,0,0,0,0,0,0,0,0,0
avoid,2,1,1,0,0,0,0,0,0,0
beware,1,0,0,0,0,0,0,0,0,0
nearest,1,0,0,0,0,0,0,0,0,0
dearest,1,0,0,0,0,0,0,0,0,0
china,32,0,0,1,0,0,0,0,1,16
hunan,3,0,0,0,0,0,0,0,0,0
province,3,0,0,0,0,0,0,0,0,0
encounter,3,0,0,0,0,0,0,0,0,0
member,28,0,1,0,3,0,2,0,19,0
household,18,0,0,0,0,0,0,0,0,0
kaiyuan,1,0,0,0,0,0,0,0,0,0
sun,3,0,0,0,0,0,0,0,0,0
hongjie,2,0,0,0,0,0,0,0,0,0
yu,3,0,0,0,0,0,0,0,0,0
fudan,3,0,0,0,0,0,0,0,0,0
shanghai,6,0,0,0,0,0,0,0,0,0
close,16,1,0,0,0,0,1,1,0,0
live,5,1,0,0,0,0,0,0,1,0
together,4,0,0,0,1,0,0,2,0,1
posed,1,0,0,0,0,0,0,0,0,0
followed,3,0,2,2,0,1,0,0,0,2
extended,3,0,0,0,0,0,0,0,0,0
family,7,0,4,0,1,0,0,0,20,1
social,13,4,0,1,0,0,1,0,1,1
transport,1,0,0,0,0,0,0,0,0,0
extra,1,0,0,0,0,0,0,0,0,0
raised,2,0,0,0,0,0,0,0,0,0
actually,2,0,0,0,0,0,0,0,0,0
increased,7,0,1,1,2,1,0,2,2,3
whose,11,0,0,0,10,0,0,0,0,1
spent,4,0,0,0,0,0,0,0,0,0
normal,2,0,1,0,1,0,0,0,3,10
home,13,0,3,0,0,0,2,0,1,3
period,5,2,1,4,6,0,0,3,0,2
persist,4,1,0,0,0,1,0,0,0,1
beyond,2,0,0,0,1,0,0,0,0,0
memory,6,3,0,0,0,0,0,0,0,0
lingers,1,0,0,0,0,0,0,0,0,0
six,12,3,1,1,0,0,0,1,0,0
sporadic,1,0,0,0,0,0,0,0,0,0
account,5,0,0,0,0,0,0,0,0,0
reinfection,14,12,0,0,0,0,0,0,0,0
report,6,0,1,0,2,3,0,2,0,3
rapidly,6,1,0,1,0,1,0,0,0,0
dwindle,1,0,0,0,0,0,0,0,0,0
shane,2,0,0,0,0,0,0,0,0,0
crotty,2,0,0,0,0,0,0,0,0,0
la,6,0,1,0,0,3,0,0,0,0
jolla,3,0,0,0,0,0,0,0,0,0
immunology,4,0,0,0,0,0,0,0,0,0
marker,1,0,0,0,0,1,0,0,0,0
range,4,2,6,1,1,1,0,0,0,5
tended,4,0,0,0,0,0,0,0,0,0
defender,1,0,0,0,0,0,0,0,0,0
b,2,0,0,0,0,0,0,0,0,1
production,6,0,0,0,0,0,0,0,0,0
mutates,1,0,0,0,0,0,0,0,0,0
race,1,0,0,6,0,0,0,0,0,0
adapting,2,0,0,0,1,0,0,0,0,0
farmed,3,0,0,0,0,0,0,0,0,0
breeding,1,0,0,0,0,0,0,0,0,0
neovison,1,0,0,0,0,0,0,0,0,0
vison,1,0,0,0,0,0,0,0,0,0
mustela,1,0,0,0,0,0,0,0,0,0
lutreola,1,0,0,0,0,0,0,0,0,0
across,11,1,0,0,0,2,0,0,2,3
since,5,0,2,1,1,5,0,1,0,0
april,30,0,0,0,0,0,0,2,0,0
françois,1,0,0,0,0,0,0,0,0,0
balloux,1,0,0,0,0,0,0,0,0,0
van,5,0,0,0,0,0,0,0,0,0
dorp,1,0,0,0,0,0,0,0,0,0
instance,2,0,0,0,0,1,0,0,0,0
jumped,3,0,0,0,0,0,0,0,0,0
arisen,1,0,0,0,0,0,0,0,0,0
independently,3,0,0,0,1,0,0,0,0,0
twice,3,0,0,0,0,0,0,0,0,0
frequent,1,3,0,0,0,1,0,1,0,0
appeared,6,0,1,1,0,1,0,0,1,0
encode,1,0,0,0,0,0,0,0,0,0
coronaviruses,31,5,0,0,0,0,0,0,0,0
jump,3,0,0,0,0,0,0,0,0,0
back,5,0,0,0,0,0,0,0,0,0
human,49,8,0,1,6,0,1,0,0,0
cold,12,1,0,0,0,0,0,0,0,0
although,9,0,1,2,2,4,3,0,3,3
deadly,1,0,0,0,0,0,0,0,0,0
cousin,1,0,0,0,0,0,0,0,0,0
seasonal,13,2,0,0,0,0,0,0,0,0
shielded,1,0,0,0,0,0,0,0,0,0
scott,1,0,0,0,0,1,0,0,0,0
hensley,1,0,0,0,0,0,0,0,0,0
pennsylvania,1,0,0,0,0,0,0,0,0,0
philadelphia,1,0,0,0,0,0,0,0,0,0
anderson,3,0,0,0,0,0,0,0,0,0
recognize,13,0,0,0,0,0,0,0,0,0
catch,4,0,0,0,0,0,0,0,0,0
became,11,0,5,0,0,0,1,0,0,0
similar,12,5,0,2,7,3,0,0,0,1
recognizing,3,0,0,0,0,0,0,0,0,0
neither,8,0,0,0,0,0,0,0,1,0
offer,6,0,0,0,0,0,0,0,0,0
faster,2,1,0,0,0,0,0,0,0,0
cheaper,1,0,0,0,0,0,0,0,0,0
standard,5,0,1,13,0,1,0,0,0,0
diagnostic,2,0,0,0,0,0,0,0,0,1
assay,5,0,5,0,1,1,0,0,0,2
assessment,1,0,0,1,4,2,0,2,0,4
tell,1,0,0,0,0,0,0,0,0,0
accuracy,1,0,1,1,1,0,0,0,0,2
detect,11,0,2,1,0,0,0,0,0,0
surface,13,0,0,0,0,0,0,0,0,0
particle,24,0,0,0,0,0,0,0,0,0
christian,1,0,0,0,0,0,0,0,0,0
drosten,1,0,0,0,0,0,0,0,0,0
charité,2,0,0,0,0,0,0,0,0,0
berlin,3,0,0,0,0,0,0,0,0,0
performance,1,0,0,0,0,0,0,0,0,0
commercially,2,0,0,0,0,0,0,0,0,0
available,7,1,4,2,7,8,1,0,1,9
applied,4,0,0,0,0,0,0,0,2,0
dozen,4,0,0,0,0,0,0,0,0,0
already,5,0,0,1,2,0,0,0,1,0
corman,1,0,0,0,0,0,0,0,0,0
five,14,0,1,0,0,0,0,1,0,5
presence,7,0,0,0,2,1,0,1,0,0
run,1,1,0,0,0,0,0,0,0,0
ranged,3,0,1,1,1,1,0,0,0,0
equivalent,1,0,0,1,0,2,0,0,0,0
million,10,0,0,1,0,1,0,0,0,2
copy,2,0,0,0,22,0,0,0,0,0
per,8,0,3,4,24,1,0,1,0,10
millilitre,1,0,0,0,0,0,0,0,0,0
such,2,0,0,0,0,1,1,0,1,0
observed,3,1,2,5,3,11,0,3,0,11
mutate,1,0,0,0,0,0,0,0,0,0
swiftly,2,0,0,0,0,0,0,0,0,0
resurged,1,0,0,0,0,0,0,0,0,0
man,8,0,0,0,0,0,0,0,0,1
killing,1,0,0,0,0,0,0,0,0,0
showing,1,0,0,0,1,1,0,0,0,0
evolution,1,2,0,0,0,0,0,0,0,0
manuela,1,0,1,0,0,0,0,0,0,0
cernadas,1,0,0,0,0,0,0,0,0,0
jonathan,4,0,1,0,0,0,0,0,0,0
li,1,0,0,0,0,0,0,0,0,0
autoimmune,2,0,0,0,0,0,0,3,0,0
disorder,2,0,0,0,0,0,0,0,0,4
medication,1,0,0,0,0,0,0,0,0,0
regimen,1,0,0,0,0,0,0,0,0,0
powerful,8,0,0,0,0,0,0,0,0,0
immunosuppressant,1,0,0,0,0,0,0,0,0,0
choi,2,0,0,0,0,0,0,0,0,0
indicated,1,0,0,0,1,1,0,0,0,1
dwindling,2,0,0,0,0,0,0,0,0,0
surged,1,0,0,0,0,0,0,0,0,0
antiviral,6,0,0,6,3,1,0,0,0,6
subsided,1,0,0,0,0,0,0,0,0,0
diagnosis,4,0,1,0,0,0,0,0,0,1
multiple,6,1,1,1,1,1,0,0,1,0
lingered,1,0,0,0,0,0,0,0,0,0
mutated,1,0,0,0,0,0,0,0,0,0
mystery,3,0,0,0,0,0,0,0,0,0
african,1,0,0,0,1,0,0,0,0,0
nation,5,0,0,0,0,0,0,0,0,0
toll,1,0,0,0,0,0,0,0,0,0
kenya,8,0,0,1,0,0,0,0,0,0
surprisingly,1,0,0,0,0,0,0,0,0,0
figure,1,1,4,5,5,7,0,0,0,1
view,1,0,0,0,0,0,0,0,0,1
small,14,0,1,0,1,0,0,0,0,2
sophie,2,0,0,0,0,0,0,0,0,0
uyoga,2,0,0,0,0,0,0,0,0,0
trust,1,0,0,0,0,0,0,0,0,0
kifili,1,0,0,0,0,0,0,0,0,0
searched,2,0,0,0,0,0,0,0,0,2
donated,1,0,1,0,0,0,0,0,0,0
based,3,2,0,0,1,1,0,0,0,0
estimate,17,5,2,1,0,1,0,0,0,3
prevalence,10,0,0,0,0,1,0,12,0,0
earlier,6,2,1,1,2,2,0,0,0,0
spain,9,0,0,0,0,0,0,0,0,0
lost,5,1,0,0,0,0,0,0,0,0
july,20,0,3,0,0,0,0,0,0,0
whereas,6,1,1,4,0,2,0,1,0,0
end,6,0,18,0,18,2,1,0,5,0
sharp,1,0,0,0,0,0,0,0,0,0
contrast,5,2,0,0,0,0,0,0,0,0
dampened,1,0,0,0,0,0,0,0,0,0
weaken,1,0,0,0,0,0,0,0,0,0
power,4,0,2,1,0,1,0,0,0,0
potential,7,1,3,2,5,3,0,0,0,2
evade,4,0,0,0,0,0,0,0,0,0
mount,8,0,0,0,0,0,0,0,0,0
start,5,0,0,0,0,0,0,0,2,0
robertson,2,0,0,0,0,0,0,0,0,0
glasgow,2,0,0,0,0,0,0,0,0,0
gyorgy,1,0,0,0,0,0,0,0,0,0
snell,1,0,0,0,0,0,0,0,0,0
vir,2,0,0,0,0,0,0,0,0,0
biotechnology,3,0,0,0,0,0,0,0,0,0
invade,6,0,0,0,0,0,0,0,0,0
thomson,1,0,0,0,0,0,0,0,0,0
emerged,1,1,0,1,0,2,0,0,0,0
experiment,8,0,0,0,0,0,0,0,0,0
hinder,1,0,0,0,0,0,0,0,0,0
block,14,0,2,0,0,0,0,0,0,0
obstructed,1,0,0,0,0,0,0,0,0,0
well,11,1,0,1,1,3,1,1,0,0
child,44,8,0,0,0,0,1,0,0,0
never,7,1,0,0,0,0,0,0,0,0
caught,3,0,0,0,0,0,0,0,0,0
harbour,3,0,0,0,0,0,0,0,0,0
mild,17,9,5,1,0,10,0,0,0,1
illness,12,0,11,3,0,2,1,0,0,8
unclear,4,0,0,1,0,2,0,0,0,3
george,1,0,0,0,0,0,0,0,0,0
kassiotis,1,0,0,0,0,0,0,0,0,0
francis,1,0,0,0,0,0,0,0,0,0
crick,1,0,0,0,0,0,0,0,0,0
ng,2,0,0,0,0,0,0,0,0,0
began,18,0,0,0,0,0,0,0,0,0
global,2,0,0,3,0,1,0,0,0,1
march,15,0,0,0,0,0,0,1,0,0
so,2,0,0,0,0,0,0,0,0,0
aged,16,0,0,0,0,0,0,1,0,0
blocked,2,0,0,0,0,0,0,0,0,0
infecting,8,0,0,0,0,0,0,0,0,0
lab,3,0,0,0,0,0,0,0,0,0
dish,2,0,0,0,0,0,0,0,0,0
mimic,2,1,0,0,0,0,0,0,0,0
prompt,4,0,0,0,0,0,0,0,0,0
candidate,9,0,1,0,0,0,0,0,0,0
artificial,1,0,0,0,0,0,0,0,0,1
leading,6,1,0,1,2,0,0,0,0,0
variety,6,1,0,0,0,0,0,0,0,0
triggering,2,0,0,0,0,0,0,0,0,0
protective,2,1,0,0,0,0,0,0,3,0
veesler,2,0,0,0,0,0,0,0,0,0
king,2,0,0,0,0,0,0,0,0,0
designed,5,0,1,1,1,1,0,0,0,1
microscopic,1,0,0,0,0,0,0,0,0,0
wall,1,0,0,0,0,0,0,0,0,0
fused,1,0,0,0,0,0,0,0,0,0
outside,2,0,0,0,0,0,0,0,4,3
nanoparticles,1,0,0,0,0,0,0,0,0,0
injected,7,0,0,0,0,0,0,0,0,0
mouse,16,0,0,0,0,0,0,0,0,0
nanoparticle,1,0,0,0,0,0,0,0,0,0
produced,8,1,0,0,0,0,0,0,0,0
comparable,2,1,0,0,0,0,0,0,0,0
ten,7,0,0,0,0,0,0,0,0,1
rodent,4,0,0,0,0,0,0,0,0,0
rely,3,0,0,0,0,0,0,0,0,0
appears,1,0,0,0,0,0,0,0,0,0
strong,4,2,0,0,0,0,0,0,0,0
special,1,0,0,0,4,0,0,0,0,0
rna,47,0,2,0,0,5,0,0,0,0
swabbing,4,0,0,0,0,0,0,0,0,0
bank,3,0,0,0,0,0,0,0,0,0
machine,3,0,0,0,0,0,0,0,0,0
handle,2,0,0,0,0,0,0,0,0,0
touched,3,0,0,0,0,0,0,0,0,0
revealed,4,1,0,0,0,0,1,0,0,0
present,3,0,1,0,1,2,0,0,3,4
amount,7,0,0,0,0,0,0,0,0,0
amy,1,0,0,0,0,0,0,0,0,0
pickering,1,0,0,0,0,0,0,0,0,0
tuft,1,0,0,0,0,0,0,0,0,0
medford,1,0,0,0,0,0,0,0,0,0
repeatedly,3,0,0,0,0,0,1,0,0,0
sampled,1,0,0,0,0,0,0,0,0,2
place,8,0,1,0,0,0,1,0,1,0
somerville,1,0,0,0,0,0,0,0,0,0
harvey,1,0,0,0,0,0,0,0,0,0
rubbish,1,0,0,0,0,0,0,0,0,0
bin,1,0,0,0,0,0,0,0,0,0
liquor,1,0,0,0,0,0,0,0,0,0
store,3,0,0,0,0,0,0,0,0,0
riddled,1,0,0,0,0,0,0,0,0,0
contamination,1,0,0,0,0,0,0,0,0,0
touching,1,0,0,0,0,0,0,0,0,0
contaminated,2,0,0,0,0,0,0,0,0,0
percentage,2,0,2,6,11,8,0,0,0,10
postal,2,0,0,0,0,0,0,0,0,0
district,4,0,0,0,0,0,0,0,0,0
sampling,3,0,0,0,0,0,0,0,0,3
heavily,2,0,0,0,0,0,0,0,0,0
warning,1,0,0,0,0,0,0,0,1,0
surge,3,0,0,0,0,0,0,0,0,0
often,9,0,0,5,0,0,0,1,4,0
silent,3,0,0,0,0,0,0,0,0,0
efficiently,3,0,0,0,1,0,0,0,0,0
warn,2,0,0,0,0,0,0,0,0,0
intensive,5,0,1,1,0,1,0,0,1,1
monitoring,1,1,5,1,2,0,1,1,0,0
melissa,1,0,0,0,0,0,0,0,0,0
rolfes,1,0,0,0,0,0,0,0,0,0
prevention,7,0,0,2,0,0,1,1,3,1
atlanta,5,0,0,0,0,0,0,0,0,0
georgia,6,0,0,0,0,0,0,0,0,0
recruited,1,0,0,0,0,0,0,0,0,0
grijalva,1,0,0,0,0,0,0,0,0,0
morb,6,0,0,0,0,0,0,0,0,0
mortal,6,0,0,0,0,0,0,0,0,0
wkly,6,0,0,0,0,0,0,0,0,0
for,4,1,1,0,2,2,0,0,0,11
enrolment,1,0,0,0,0,0,0,0,0,0
gathered,1,0,0,0,1,0,0,0,0,0
daily,5,0,2,0,0,0,0,0,0,0
lived,5,0,0,0,0,0,0,0,0,0
conservative,1,0,0,0,0,0,0,0,0,0
excluded,1,0,3,3,1,0,0,0,0,6
signed,1,0,0,0,0,0,0,0,0,0
remaining,2,0,0,0,0,0,0,0,2,2
almost,7,3,0,0,1,0,0,0,0,1
double,2,0,0,0,0,0,0,0,0,0
fewer,5,0,0,0,0,1,0,0,0,0
feeling,6,0,0,0,0,0,0,0,0,0
rank,1,1,0,0,0,0,0,0,0,0
tally,1,0,0,0,0,0,0,0,0,0
reveal,4,0,0,0,0,0,0,0,0,0
total,2,0,8,4,1,1,0,0,0,7
megan,1,0,0,0,0,0,0,0,0,0
o,3,0,1,0,0,0,0,0,0,0
driscoll,2,0,0,0,0,0,0,0,0,0
dying,2,0,0,0,0,0,0,0,2,0
pattern,5,1,0,1,0,0,0,0,0,7
consistent,2,0,0,3,4,3,0,0,0,2
compiled,2,0,1,0,0,0,0,0,0,0
previously,5,1,0,0,0,1,0,1,1,1
exposed,13,0,0,0,0,0,0,0,0,0
fatality,2,3,0,0,0,0,0,0,0,0
proportion,7,0,1,2,0,0,0,2,0,12
die,6,0,0,0,0,0,0,0,2,0
combined,3,0,1,0,12,0,0,0,0,0
beginning,2,1,0,0,0,0,0,0,0,0
september,22,0,0,1,1,2,0,0,0,0
billion,3,0,0,0,0,0,0,0,0,0
korea,1,0,0,0,0,0,0,0,0,0
lowest,1,0,0,0,0,0,0,0,0,0
peru,1,0,0,1,0,0,0,0,0,0
